description,attribute,metric,value
State Data,Statewide,Cases,25121
State Data,Statewide,Hospitalizations,4254
State Data,Statewide,Counties,60
State Data,Statewide,People Tested,166596
State Data,Statewide,Deaths Among Cases,1421
State Data,Statewide,Deaths Due to COVID-19,1168
State Data,Statewide,Outbreaks,272
State Data,Statewide,Rate Per 100000,441.16
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,Deaths due to COVID-19 (updated through the previous Saturday): https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,3070
Colorado Case Counts by County,Alamosa County,Cases,60
Colorado Case Counts by County,Arapahoe County,Cases,4201
Colorado Case Counts by County,Archuleta County,Cases,8
Colorado Case Counts by County,Baca County,Cases,12
Colorado Case Counts by County,Bent County,Cases,2
Colorado Case Counts by County,Boulder County,Cases,956
Colorado Case Counts by County,Broomfield County,Cases,227
Colorado Case Counts by County,Chaffee County,Cases,72
Colorado Case Counts by County,Cheyenne County,Cases,5
Colorado Case Counts by County,Clear Creek County,Cases,16
Colorado Case Counts by County,Conejos County,Cases,1
Colorado Case Counts by County,Costilla County,Cases,5
Colorado Case Counts by County,Crowley County,Cases,63
Colorado Case Counts by County,Custer County,Cases,2
Colorado Case Counts by County,Delta County,Cases,67
Colorado Case Counts by County,Denver County,Cases,5434
Colorado Case Counts by County,Dolores County,Cases,0
Colorado Case Counts by County,Douglas County,Cases,699
Colorado Case Counts by County,Eagle County,Cases,584
Colorado Case Counts by County,El Paso County,Cases,1636
Colorado Case Counts by County,Elbert County,Cases,51
Colorado Case Counts by County,Fremont County,Cases,26
Colorado Case Counts by County,Garfield County,Cases,135
Colorado Case Counts by County,Gilpin County,Cases,3
Colorado Case Counts by County,Grand County,Cases,10
Colorado Case Counts by County,Gunnison County,Cases,177
Colorado Case Counts by County,Hinsdale County,Cases,3
Colorado Case Counts by County,Huerfano County,Cases,3
Colorado Case Counts by County,International,Cases,14
Colorado Case Counts by County,Jackson County,Cases,0
Colorado Case Counts by County,Jefferson County,Cases,2123
Colorado Case Counts by County,Kiowa County,Cases,0
Colorado Case Counts by County,Kit Carson County,Cases,26
Colorado Case Counts by County,La Plata County,Cases,77
Colorado Case Counts by County,Lake County,Cases,27
Colorado Case Counts by County,Larimer County,Cases,567
Colorado Case Counts by County,Las Animas County,Cases,5
Colorado Case Counts by County,Lincoln County,Cases,3
Colorado Case Counts by County,Logan County,Cases,585
Colorado Case Counts by County,Mesa County,Cases,53
Colorado Case Counts by County,Mineral County,Cases,2
Colorado Case Counts by County,Moffat County,Cases,7
Colorado Case Counts by County,Montezuma County,Cases,37
Colorado Case Counts by County,Montrose County,Cases,163
Colorado Case Counts by County,Morgan County,Cases,620
Colorado Case Counts by County,Otero County,Cases,18
Colorado Case Counts by County,Ouray County,Cases,8
Colorado Case Counts by County,Park County,Cases,23
Colorado Case Counts by County,Phillips County,Cases,12
Colorado Case Counts by County,Pitkin County,Cases,57
Colorado Case Counts by County,Prowers County,Cases,13
Colorado Case Counts by County,Pueblo County,Cases,278
Colorado Case Counts by County,Rio Blanco County,Cases,1
Colorado Case Counts by County,Rio Grande County,Cases,14
Colorado Case Counts by County,Routt County,Cases,61
Colorado Case Counts by County,Saguache County,Cases,33
Colorado Case Counts by County,San Juan County,Cases,1
Colorado Case Counts by County,San Miguel County,Cases,23
Colorado Case Counts by County,Sedgwick County,Cases,0
Colorado Case Counts by County,Summit County,Cases,213
Colorado Case Counts by County,Teller County,Cases,32
Colorado Case Counts by County,Washington County,Cases,33
Colorado Case Counts by County,Weld County,Cases,2444
Colorado Case Counts by County,Yuma County,Cases,20
Colorado Case Counts by County,Note,"County rates per 100,000 are calculated using 2018 population estimates from the Demography Section, Colorado Division of Local Government.",NA
COVID-19 in Colorado by Age Group,0-9,Percent of Cases,2.11
COVID-19 in Colorado by Age Group,10-19,Percent of Cases,4.41
COVID-19 in Colorado by Age Group,20-29,Percent of Cases,15.83
COVID-19 in Colorado by Age Group,30-39,Percent of Cases,17.28
COVID-19 in Colorado by Age Group,40-49,Percent of Cases,17.22
COVID-19 in Colorado by Age Group,50-59,Percent of Cases,16.02
COVID-19 in Colorado by Age Group,60-69,Percent of Cases,11.56
COVID-19 in Colorado by Age Group,70-79,Percent of Cases,7.38
COVID-19 in Colorado by Age Group,80+,Percent of Cases,7.99
COVID-19 in Colorado by Age Group,Unknown,Percent of Cases,0.2
COVID-19 in Colorado by Age Group,10-19,Percent of Deaths,0.14
COVID-19 in Colorado by Age Group,20-29,Percent of Deaths,0.63
COVID-19 in Colorado by Age Group,30-39,Percent of Deaths,0.56
COVID-19 in Colorado by Age Group,40-49,Percent of Deaths,2.53
COVID-19 in Colorado by Age Group,50-59,Percent of Deaths,5.21
COVID-19 in Colorado by Age Group,60-69,Percent of Deaths,12.6
COVID-19 in Colorado by Age Group,70-79,Percent of Deaths,23.72
COVID-19 in Colorado by Age Group,80+,Percent of Deaths,54.61
COVID-19 in Colorado by Age Group,0-9,Percent of Colorado Population,11.85
COVID-19 in Colorado by Age Group,10-19,Percent of Colorado Population,13.11
COVID-19 in Colorado by Age Group,20-29,Percent of Colorado Population,14.61
COVID-19 in Colorado by Age Group,30-39,Percent of Colorado Population,14.56
COVID-19 in Colorado by Age Group,40-49,Percent of Colorado Population,13.04
COVID-19 in Colorado by Age Group,50-59,Percent of Colorado Population,12.67
COVID-19 in Colorado by Age Group,60-69,Percent of Colorado Population,10.91
COVID-19 in Colorado by Age Group,70-79,Percent of Colorado Population,6.12
COVID-19 in Colorado by Age Group,80+,Percent of Colorado Population,3.13
COVID-19 in Colorado by Age Group,Unknown,Percent of Colorado Population,0
COVID-19 in Colorado by Age Group,Note,Percent of cases and deaths by age group compared to percent of total Colorado (CO) population.,NA
COVID-19 in Colorado by Age Group,Note,"Population Data: Colorado Department of Local Affairs State Demography Office, 2018 Regional Estimates",NA
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Cases,0.48
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Cases,2.69
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Cases,5.98
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Cases,36.75
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Cases,0.67
COVID-19 in Colorado by Race & Ethnicity,NHOPI - Non Hispanic,Percent of Cases,0.4
COVID-19 in Colorado by Race & Ethnicity,White - Non Hispanic,Percent of Cases,34.87
COVID-19 in Colorado by Race & Ethnicity,Other,Percent of Cases,0.9
COVID-19 in Colorado by Race & Ethnicity,Unknown/Not Provided,Percent of Cases,17.26
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Deaths,0.56
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Deaths,3.8
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Deaths,6.9
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Deaths,19.28
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Deaths,0.7
COVID-19 in Colorado by Race & Ethnicity,NHOPI - Non Hispanic,Percent of Deaths,0.42
COVID-19 in Colorado by Race & Ethnicity,White - Non Hispanic,Percent of Deaths,63.97
COVID-19 in Colorado by Race & Ethnicity,Other,Percent of Deaths,0.42
COVID-19 in Colorado by Race & Ethnicity,Unknown/Not Provided,Percent of Deaths,3.94
COVID-19 in Colorado by Race & Ethnicity,AIAN - Non Hispanic,Percent of Colorado Population,0.56
COVID-19 in Colorado by Race & Ethnicity,Asian - Non Hispanic,Percent of Colorado Population,3.12
COVID-19 in Colorado by Race & Ethnicity,Black - Non Hispanic,Percent of Colorado Population,3.92
COVID-19 in Colorado by Race & Ethnicity,"Hispanic, All Races",Percent of Colorado Population,21.69
COVID-19 in Colorado by Race & Ethnicity,Multiple - Non Hispanic,Percent of Colorado Population,2.65
COVID-19 in Colorado by Race & Ethnicity,NHOPI - Non Hispanic,Percent of Colorado Population,0.12
COVID-19 in Colorado by Race & Ethnicity,White - Non Hispanic,Percent of Colorado Population,67.76
COVID-19 in Colorado by Race & Ethnicity,Other,Percent of Colorado Population,0.19
