Date,Cases
2/1/2020,4
2/2/2020,1
2/3/2020,2
2/4/2020,2
2/5/2020,2
2/6/2020,1
2/7/2020,0
2/8/2020,5
2/9/2020,1
2/10/2020,3
2/11/2020,0
2/12/2020,0
2/13/2020,3
2/14/2020,1
2/15/2020,7
2/16/2020,0
2/17/2020,2
2/18/2020,1
2/19/2020,2
2/20/2020,6
2/21/2020,2
2/22/2020,2
2/23/2020,6
2/24/2020,10
2/25/2020,4
2/26/2020,7
2/27/2020,10
2/28/2020,9
2/29/2020,12
3/1/2020,55
3/2/2020,24
3/3/2020,35
3/4/2020,43
3/5/2020,37
3/6/2020,60
3/7/2020,56
3/8/2020,113
3/9/2020,185
3/10/2020,171
3/11/2020,179
3/12/2020,186
3/13/2020,268
3/14/2020,208
3/15/2020,296
3/16/2020,328
3/17/2020,329
3/18/2020,342
3/19/2020,290
3/20/2020,349
3/21/2020,300
3/22/2020,266
3/23/2020,414
3/24/2020,349
3/25/2020,401
3/26/2020,300
3/27/2020,397
3/28/2020,332
3/29/2020,300
3/30/2020,443
3/31/2020,301
4/1/2020,503
4/2/2020,367
4/3/2020,454
4/4/2020,330
4/5/2020,331
4/6/2020,460
4/7/2020,366
4/8/2020,397
4/9/2020,404
4/10/2020,466
4/11/2020,378
4/12/2020,397
4/13/2020,475
4/14/2020,406
4/15/2020,490
4/16/2020,374
4/17/2020,514
4/18/2020,411
4/19/2020,307
4/20/2020,620
4/21/2020,343
4/22/2020,408
4/23/2020,415
4/24/2020,452
4/25/2020,381
4/26/2020,374
4/27/2020,433
4/28/2020,353
4/29/2020,341
4/30/2020,370
5/1/2020,431
5/2/2020,352
5/3/2020,292
5/4/2020,391
5/5/2020,342
5/6/2020,358
5/7/2020,326
5/8/2020,408
5/9/2020,284
5/10/2020,301
5/11/2020,349
5/12/2020,372
5/13/2020,352
5/14/2020,307
5/15/2020,330
5/16/2020,245
5/17/2020,217
5/18/2020,308
5/19/2020,296
5/20/2020,306
5/21/2020,217
5/22/2020,230
5/23/2020,167
5/24/2020,172
5/25/2020,212
5/26/2020,202
5/27/2020,160
5/28/2020,170
5/29/2020,182
5/30/2020,144
5/31/2020,147
6/1/2020,165
6/2/2020,168
6/3/2020,164
6/4/2020,119
6/5/2020,137
6/6/2020,133
6/7/2020,193
6/8/2020,164
6/9/2020,160
6/10/2020,143
6/11/2020,173
6/12/2020,194
6/13/2020,157
6/14/2020,143
6/15/2020,244
6/16/2020,169
6/17/2020,191
6/18/2020,78
6/19/2020,100
6/20/2020,57
6/21/2020,39
6/22/2020,34
6/23/2020,1
6/24/2020,1
