description,attribute,metric,value
State Data,Statewide,Cases,30705
State Data,Statewide,Hospitalizations,5343
State Data,Statewide,Counties,60
State Data,Statewide,People Tested,285130
State Data,Statewide,Deaths Among Cases,1651
State Data,Statewide,Deaths Due to COVID-19,1438
State Data,Statewide,Outbreaks,330
State Data,Statewide,Rate Per 100000,539.22
State Data,Note,Data is updated daily by about 4 p.m. and includes cases reported through the previous day.,NA
State Data,Note,The number of cases includes people who have had a test that indicated they were positive for COVID-19. The number of cases also includes epidemiologically-linked cases -- or cases where public health epidemiologists have determined that infection is highly likely because a person exhibited symptoms and had close contact with someone who tested positive. The number of epidemiologically-linked cases represents a very small portion of the reported cases.,NA
State Data,Note,Total people tested may not include all negative results. Testing data excludes serology and only counts PCR.,NA
State Data,Note,Deaths due to COVID-19 (updated through the previous Saturday): https://www.cdc.gov/nchs/nvss/vsrr/covid19/index.htm (Table 2),NA
Colorado Case Counts by County,Adams County,Cases,3932
Colorado Case Counts by County,Alamosa County,Cases,169
Colorado Case Counts by County,Arapahoe County,Cases,4975
Colorado Case Counts by County,Archuleta County,Cases,8
Colorado Case Counts by County,Baca County,Cases,12
Colorado Case Counts by County,Bent County,Cases,4
Colorado Case Counts by County,Boulder County,Cases,1259
Colorado Case Counts by County,Broomfield County,Cases,280
Colorado Case Counts by County,Chaffee County,Cases,78
Colorado Case Counts by County,Cheyenne County,Cases,5
Colorado Case Counts by County,Clear Creek County,Cases,18
Colorado Case Counts by County,Conejos County,Cases,12
Colorado Case Counts by County,Costilla County,Cases,17
Colorado Case Counts by County,Crowley County,Cases,69
Colorado Case Counts by County,Custer County,Cases,2
Colorado Case Counts by County,Delta County,Cases,80
Colorado Case Counts by County,Denver County,Cases,6663
Colorado Case Counts by County,Dolores County,Cases,0
Colorado Case Counts by County,Douglas County,Cases,864
Colorado Case Counts by County,Eagle County,Cases,656
Colorado Case Counts by County,El Paso County,Cases,2113
Colorado Case Counts by County,Elbert County,Cases,54
Colorado Case Counts by County,Fremont County,Cases,31
Colorado Case Counts by County,Garfield County,Cases,224
Colorado Case Counts by County,Gilpin County,Cases,6
Colorado Case Counts by County,Grand County,Cases,18
Colorado Case Counts by County,Gunnison County,Cases,182
Colorado Case Counts by County,Hinsdale County,Cases,3
Colorado Case Counts by County,Huerfano County,Cases,4
Colorado Case Counts by County,International,Cases,16
Colorado Case Counts by County,Jackson County,Cases,0
Colorado Case Counts by County,Jefferson County,Cases,2543
Colorado Case Counts by County,Kiowa County,Cases,0
Colorado Case Counts by County,Kit Carson County,Cases,31
Colorado Case Counts by County,La Plata County,Cases,86
Colorado Case Counts by County,Lake County,Cases,48
Colorado Case Counts by County,Larimer County,Cases,680
Colorado Case Counts by County,Las Animas County,Cases,8
Colorado Case Counts by County,Lincoln County,Cases,4
Colorado Case Counts by County,Logan County,Cases,635
Colorado Case Counts by County,Mesa County,Cases,80
Colorado Case Counts by County,Mineral County,Cases,2
Colorado Case Counts by County,Moffat County,Cases,9
Colorado Case Counts by County,Montezuma County,Cases,68
Colorado Case Counts by County,Montrose County,Cases,201
Colorado Case Counts by County,Morgan County,Cases,649
Colorado Case Counts by County,Otero County,Cases,22
Colorado Case Counts by County,Ouray County,Cases,10
Colorado Case Counts by County,Park County,Cases,25
Colorado Case Counts by County,Phillips County,Cases,15
Colorado Case Counts by County,Pitkin County,Cases,80
Colorado Case Counts by County,Prowers County,Cases,16
Colorado Case Counts by County,Pueblo County,Cases,358
Colorado Case Counts by County,Rio Blanco County,Cases,2
Colorado Case Counts by County,Rio Grande County,Cases,65
Colorado Case Counts by County,Routt County,Cases,65
Colorado Case Counts by County,Saguache County,Cases,99
Colorado Case Counts by County,San Juan County,Cases,1
Colorado Case Counts by County,San Miguel County,Cases,28
Colorado Case Counts by County,Sedgwick County,Cases,0
Colorado Case Counts by County,Summit County,Cases,263
Colorado Case Counts by County,Teller County,Cases,40
Colorado Case Counts by County,Washington County,Cases,44
